MT917,563220.068,7443808.166
MT920,563183.068,7443808.166
MT3,564361.073,7445152.171
MT4,564357.073,7445150.171
MT5,564355.073,7445155.171
MT2135,564342.073,7445195.172
MT7,564329.073,7445141.171
MT8,564293.073,7445130.171
MT10,564229.073,7445110.171
MT11,564240.073,7445074.171
MT1149,564297.073,7444894.170
MT13,564299.073,7444889.170
MT16,564271.073,7444880.170
MT17,564240.073,7444871.170
MT18,564119.072,7444833.170
MT19,564114.072,7444831.170
MT1144,564104.072,7444864.170
MT1145,564095.072,7444893.170
MT21,564027.072,7444805.170
MT22,564022.072,7444803.170
MT25,564055.072,7444699.170
MT26,564057.072,7444692.170
MT1153,564073.072,7444641.169
MT28,564083.072,7444609.169
MT29,564090.072,7444586.169
MT30,564092.072,7444581.169
MT31,564100.072,7444554.169
MT32,564108.072,7444529.169
MT1172,564125.072,7444474.169
MT34,564126.072,7444469.169
MT1170,564151.072,7444391.168
MT36,564161.072,7444359.168
MT1206,564230.073,7444381.168
MT38,564253.073,7444388.168
MT38,564253.073,7444388.168
MT39,564261.073,7444364.168
MT1207,564243.073,7444421.168
MT1988,564235.073,7444445.169
MT927,564197.073,7444248.168
MT42,564200.073,7444237.168
MT42,564200.073,7444237.168
MT44,564216.073,7444242.168
MT46,564157.072,7444223.168
MT47,564159.072,7444215.168
MT48,564203.073,7444225.168
MT49,564220.073,7444170.167
MT1552,564389.073,7444186.167
MT56,564414.073,7444194.167
MT56,564414.073,7444194.167
MT57,564422.074,7444172.167
MT58,564405.073,7444225.168
MT59,564386.073,7444284.168
MT54,564323.073,7444166.167
MT60,564331.073,7444138.167
MT61,564331.073,7444138.167
MT62,564340.073,7444111.167
MT63,564358.073,7444055.167
MT64,564393.073,7444065.167
MT1163,564418.074,7443867.166
MT1928,564421.074,7443857.166
MT54,564323.073,7444166.167
MT65,564313.073,7444196.168
MT70,564286.073,7443963.167
MT71,564297.073,7443929.166
MT73,564213.073,7443888.166
MT74,564208.073,7443886.166
MT74,564208.073,7443886.166
MT75,564205.073,7443896.166
MT77,564224.073,7443836.166
MT78,564215.073,7443827.166
MT1177,564224.073,7443836.166
MT81,564234.073,7443804.166
MT79,564234.073,7443804.166
MT80,564251.073,7443807.166
MT82,564239.073,7443789.166
MT1184,564243.073,7443775.166
MT83,564221.073,7443674.165
MT84,564217.073,7443659.165
MT84,564217.073,7443659.165
MT85,564214.073,7443649.165
MT85,564214.073,7443649.165
MT86,564204.073,7443618.165
MT87,564184.072,7443542.165
MT88,564179.072,7443524.165
MT91,564132.072,7443348.164
MT92,564125.072,7443322.164
MT92,564125.072,7443322.164
MT93,564116.072,7443287.164
MT93,564116.072,7443287.164
MT94,564107.072,7443253.164
MT95,564107.072,7443253.164
MT96,564095.072,7443274.164
MT96,564095.072,7443274.164
MT97,564056.072,7443285.164
MT97,564056.072,7443285.164
MT98,564047.072,7443279.164
MT101,564039.072,7443014.163
MT102,564021.072,7442941.162
MT1195,563927.071,7442481.161
MT107,563942.071,7442448.160
MT1114,564046.072,7442249.160
MT110,564063.072,7442219.160
MT1997,564153.072,7442037.159
MT115,564188.072,7441990.159
MT117,564266.073,7441939.158
MT118,564253.073,7441918.158
MT120,564272.073,7441947.158
MT121,564313.073,7442011.159
MT121,564313.073,7442011.159
MT122,564389.073,7442112.159
MT122,564389.073,7442112.159
MT123,564426.073,7442197.159
MT123,564426.073,7442197.159
MT124,564481.074,7442367.160
MT123,564426.073,7442197.159
MT125,564471.074,7442167.159
MT126,564268.073,7441941.158
MT127,564362.073,7441898.158
MT127,564362.073,7441898.158
MT128,564484.074,7441811.158
MT128,564484.074,7441811.158
MT129,564508.074,7441768.158
MT130,564508.074,7441768.158
MT131,564312.073,7441550.157
MT133,564581.074,7441651.157
MT134,564586.074,7441642.157
MT1718,564623.074,7441583.157
MT1463,564666.074,7441508.157
MT1720,564690.074,7441554.157
MT1721,564720.075,7441607.157
MT135,565001.076,7440960.154
MT136,565047.076,7440896.154
MT136,565047.076,7440896.154
MT137,565082.076,7440856.154
MT1724,565177.076,7440691.153
MT1725,565332.077,7440421.152
MT138,565332.077,7440421.152
MT139,565288.077,7440402.152
MT140,565457.078,7440188.151
MT141,565511.078,7440078.151
MT1744,565788.079,7440101.151
MT1745,565862.079,7440110.151
MT1762,566173.081,7440139.151
MT142,566298.081,7440127.151
MT1767,566864.083,7440185.151
MT144,566954.084,7440185.151
MT1769,567209.085,7440202.151
MT1770,567285.085,7440204.151
MT1775,567577.086,7439892.150
MT1776,567637.087,7439828.149
MT2068,567991.088,7440196.151
MT146,567996.088,7440205.151
MT146,567996.088,7440205.151
MT147,568080.089,7440413.152
MT147,568080.089,7440413.152
MT148,568272.089,7440348.151
MT1781,568181.089,7440641.153
MT149,568256.089,7440807.153
MT1755,568494.090,7440686.153
MT1756,568614.091,7440627.153
MT150,568258.089,7440845.154
MT1752,568271.089,7441025.154
MT1753,568287.090,7441238.155
MT151,568293.090,7441338.155
MT151,568293.090,7441338.155
MT152,568301.090,7441429.156
MT152,568301.090,7441429.156
MT153,568219.089,7441437.156
